title,link,date,summary
"China's primary aluminum imports in June decreased by 23.22% MoM. In July, domestic primary aluminum imports are expected to be mainly from long-term contracts",https://news.metal.com/newscontent/102874207/Chinas-primary-aluminum-imports-in-June-decreased-by-2322-MoM-In-July-domestic-primary-aluminum-imports-are-expected-to-be-mainly-from-long-term-contracts,2024-07-26,"In June 2024, the domestic import volume of primary aluminum decreased by 23.22% MoM to 121,200 mt, up 35.61% YoY; the domestic export volume of primary aluminum in June was approximately 7,000 mt, down 78.68% YoY; the net import volume of primary aluminum in June 2024 was 114,200 mt, up 102.5% YoY, down 24.41% MoM."
Aluminum prices to continue to fall due to weak market sentiment and poor demand,https://news.metal.com/newscontent/102874206/Aluminum-prices-to-continue-to-fall-due-to-weak-market-sentiment-and-poor-demand,2024-07-26,"This week, the macro front released some bullish information but met market expectations."
SMM Morning Comment For SHFE Base Metals On July 26,https://news.metal.com/newscontent/102872214/SMM-Morning-Comment-For-SHFE-Base-Metals-On-July-26,2024-07-26,"Overnight, LME copper opened at $9,000/mt, dipping to $8,996.5/mt at the beginning of the session, then fluctuating upwards to a high of $9,169.5/mt, and closed at $9,091/mt, up 0.45%."
"Join us at IBAAS-IIM 2024: A premier bauxite, alumina & aluminium conference & exhibition at Goa",https://news.metal.com/newscontent/102872091/Join-us-at-IBAAS-IIM-2024:-A-premier-bauxite-alumina-aluminium-conference-exhibition-at-Goa,2024-07-26,"We are delighted to announce the upcoming IBAAS-IIM 2024 International Bauxite, Alumina & Aluminium Conference & Exhibition, set to take place during September 25-27, 2024 in the beautiful Goa, India."
Vedanta Aluminium hosts strategic session on red mud utilisation in partnership with NITI Aayog,https://news.metal.com/newscontent/102872087/Vedanta-Aluminium-hosts-strategic-session-on-red-mud-utilisation-in-partnership-with-NITI-Aayog,2024-07-26,"Vedanta Aluminium, India’s largest aluminium producer, in partnership with NITI Aayog and leading national institutions, recently hosted a high-level stakeholder meeting to identify sustainable applications for red mud, a key byproduct in the bauxite refining process for making aluminium."
SMM Aluminum Market Morning Comment (July 26),https://news.metal.com/newscontent/102872048/SMM-Aluminum-Market-Morning-Comment-July-26,2024-07-26,"Overnight, the most-traded SHFE aluminum 2409 contract opened at 19,130 yuan/mt, reaching a high of 19,240 yuan/mt and a low of 19,090 yuan/mt, and closed at 19,180 yuan/mt, up 5 yuan/mt, an increase of 0.02%."
"The aluminum price in central China Foshan fell below 19,000 yuan/mt, and the spot market transactions were relatively moderate",https://news.metal.com/newscontent/102871539/The-aluminum-price-in-central-China-Foshan-fell-below-19000-yuanmt-and-the-spot-market-transactions-were-relatively-moderate,2024-07-25,"In the early trading session today, the most-traded SHFE aluminum contract fluctuated downward before slightly rebounding."
SMM Morning Comment For SHFE Base Metals On July 25,https://news.metal.com/newscontent/102869940/SMM-Morning-Comment-For-SHFE-Base-Metals-On-July-25,2024-07-25,"LME copper opened at $9,174.5/mt overnight, initially reaching a high of $9,174.5/mt, then touching a low of $9,050/mt at the end of the trading session, and finally closed at $9,050.5/mt, down 1.16%."
Global Aluminium Associations approves new OECD report on state enterprises & subsidies,https://news.metal.com/newscontent/102869805/Global-Aluminium-Associations-approves-new-OECD-report-on-state-enterprises-subsidies,2024-07-25,"The aluminium associations of the United States, Europe, Canada, and Japan have approved a new report by the Organisation for Economic Cooperation and Development (OECD) titled ""Quantifying the Role of State Enterprises in Industrial Subsidies."""
Intalco Aluminum commits $5.25 million to enhance environmental safety & compliance at Ferndale,https://news.metal.com/newscontent/102869791/Intalco-Aluminum-commits-525-million-to-enhance-environmental-safety-compliance-at-Ferndale,2024-07-25,"Intalco Aluminum LLC, a wholly owned subsidiary of Alcoa Corporation, the operator of the closed aluminium smelter in Ferndale, has agreed to a $5.25 million settlement with the U.S. Environmental Protection Agency (EPA)."
SMM Aluminum Market Morning Comment (July 25),https://news.metal.com/newscontent/102869768/SMM-Aluminum-Market-Morning-Comment-July-25,2024-07-25,"Market: The most-traded SHFE 2409 aluminum contract opened at 19,350 yuan/mt overnight, reaching a high of 19,360 yuan/mt and a low of 19,255 yuan/mt, and closed at 19,270 yuan/mt, down 50 yuan/mt, a decrease of 0.26%."
SMM Morning Comment For SHFE Base Metals On July 24,https://news.metal.com/newscontent/102867674/SMM-Morning-Comment-For-SHFE-Base-Metals-On-July-24,2024-07-24,"LME copper opened at $9,176/mt overnight, initially reaching a session high of $9,190/mt, hitting a session low of $9,110.5/mt, and finally closed at $9,157/mt, down 0.86%."
Domestic aluminum wire exports have declined for two consecutive months MoM. Will overseas demand for aluminum wire show a trend of moving downwards after a higher opening this year? [SMM Analysis],https://news.metal.com/newscontent/102867625/Domestic-aluminum-wire-exports-have-declined-for-two-consecutive-months-MoM-Will-overseas-demand-for-aluminum-wire-show-a-trend-of-moving-downwards-after-a-higher-opening-this-year-[SMM-Analysis],2024-07-24,"According to customs data, in June 2024, aluminum wire and cable exports were 12,800 mt, marking a decline for two consecutive months, down 23% MoM and 31% YoY."
Yamaha Motor to introduce hydrogen-powered aluminium melting technology at new facility,https://news.metal.com/newscontent/102867557/Yamaha-Motor-to-introduce-hydrogen-powered-aluminium-melting-technology-at-new-facility,2024-07-24,"Yamaha Motor is set to establish a groundbreaking verification testing facility at its Morimachi Factory in Japan, featuring advanced melting and heat treatment furnaces powered by hydrogen gas."
BLT-AlAM500: The cutting-edge aluminium alloy designed for aerospace 3D printing,https://news.metal.com/newscontent/102867547/BLT-AlAM500:-The-cutting-edge-aluminium-alloy-designed-for-aerospace-3D-printing,2024-07-24,"Bright Laser Technologies (BLT) recently unveiled two advanced additive manufacturing materials, including a high-strength aluminium alloy designed specifically for aerospace 3D printing applications."
SMM Aluminum Market Morning Comment (July 24),https://news.metal.com/newscontent/102867529/SMM-Aluminum-Market-Morning-Comment-July-24,2024-07-24,"The most-traded SHFE aluminum 2409 contract opened at 19,340 yuan/mt overnight, reaching a high of 19,410 yuan/mt and a low of 19,310 yuan/mt, and closed at 19,350 yuan/mt, up 60 yuan/mt, a decrease of 0.31%."
"Aluminium plate/sheet, strip and foil production and sales declined due to weak demand [SMM Analysis]",https://news.metal.com/newscontent/102866370/Aluminium-platesheet-strip-and-foil-production-and-sales-declined-due-to-weak-demand-[SMM-Analysis],2024-07-23,"According to an SMM survey, as the traditional off-season deepens, the order volume for aluminium plate/sheet, strip and foil producers continues to decline, and the industry's operating rate is gradually decreasing."
Aluminum prices are declining. Whether this can effectively lead to destocking? [SMM Analysis],https://news.metal.com/newscontent/102866243/Aluminum-prices-are-declining-Whether-this-can-effectively-lead-to-destocking-[SMM-Analysis],2024-07-23,"On July 22, 2024, SMM reported that the total social inventory of aluminum ingots was 792,000 mt, (the amount for sale stood at 666,000 mt), down 5,000 mt from last Thursday but still 247,000 mt higher YoY."
SMM Morning Comment For SHFE Base Metals On July 23,https://news.metal.com/newscontent/102865289/SMM-Morning-Comment-For-SHFE-Base-Metals-On-July-23,2024-07-23,"Overnight, LME copper opened and peaked at $9,269/mt, hitting a low of $9,172/mt during the session, and closed at $9,230/mt, down 0.58%."
Tiwai Point Aluminium Smelter to cut power usage by 185 megawatts to combat electricity supply constraint,https://news.metal.com/newscontent/102865240/Tiwai-Point-Aluminium-Smelter-to-cut-power-usage-by-185-megawatts-to-combat-electricity-supply-constraint,2024-07-23,"The Tiwai Point Aluminium Smelter, owned by Rio Tinto and the Sumitomo Group, has decided to reduce its power consumption by 185 megawatts, which is about 4 per cent of the country's energy usage."
"RX China hosts record-breaking - Aluminium China 2024, focusing on green smart-aluminium and international cooperation",https://news.metal.com/newscontent/102865218/RX-China-hosts-record-breaking--Aluminium-China-2024-focusing-on-green-smart-aluminium-and-international-cooperation,2024-07-23,"The 19th Aluminium China, Asia's leading aluminium industry trade show and B2B platform for sourcing, branding, networking, and technical exchange, successfully concluded its 2024 expo on July 5 at the Shanghai New International Expo Centre (SNIEC)."
SMM Aluminum Market Morning Comment (July 23),https://news.metal.com/newscontent/102865198/SMM-Aluminum-Market-Morning-Comment-July-23,2024-07-23,"Overnight, the most-traded SHFE aluminum 2409 contract opened at 19,360 yuan/mt, reaching a high of 19,400 yuan/mt and a low of 19,300 yuan/mt, and closed at 19,360 yuan/mt, down 90 yuan/mt, a decrease of 0.46%."
"In June 2024, the domestic export volume of primary aluminium was approximately 7,000 mt, up 2.7% MoM, down 78.8% YoY",https://news.metal.com/newscontent/102864796/In-June-2024-the-domestic-export-volume-of-primary-aluminium-was-approximately-7000-mt-up-27-MoM-down-788-YoY,2024-07-22,"According to customs data, the export volume of domestic primary aluminium in June 2024 was approximately 7,000 mt, up 2.7% MoM, but down 78.8% YoY."
Monthly Imports of Bauxite in China in June 2024 (Including Country Rankings),https://news.metal.com/newscontent/102864776/Monthly-Imports-of-Bauxite-in-China-in-June-2024-Including-Country-Rankings,2024-07-22,"According to the General Administration of Customs of China, in June 2024, China imported 13.3348 million mt of bauxite, down 1.58% MoM and up 15.42% YoY."
"From January to June, the cumulative export of aluminium extrusion was up 11.61% YoY, mainly due to the price spread between domestic and overseas markets and restocking sentiment [SMM Analysis]",https://news.metal.com/newscontent/102864756/From-January-to-June-the-cumulative-export-of-aluminium-extrusion-was-up-1161-YoY-mainly-due-to-the-price-spread-between-domestic-and-overseas-markets-and-restocking-sentiment-[SMM-Analysis],2024-07-22,"According to customs data, in June 2024, the export volume of domestic aluminium extrusion (HS codes 76041010, 76041090, 76042100, 76042910, 76042990) was 97,500 mt, up 6.47% MoM and up 9.14% YoY."
"China's alumina exports surged in June MoM, and imports are expected to remain low in July [SMM Analysis]",https://news.metal.com/newscontent/102864725/Chinas-alumina-exports-surged-in-June-MoM-and-imports-are-expected-to-remain-low-in-July-[SMM-Analysis],2024-07-22,"According to Chinese customs, in June 2024, China exported 157,100 mt of alumina, with a cumulative export of 810,700 mt from January to June 2024."
"Aluminium rod processing fees increased by 100-150 yuan/mt, and downstream sentiment showed a significant improvement [SMM Analysis]",https://news.metal.com/newscontent/102864657/Aluminium-rod-processing-fees-increased-by-100-150-yuanmt-and-downstream-sentiment-showed-a-significant-improvement-[SMM-Analysis],2024-07-22,"On July 19, 2024, the average ex-factory processing fee for 1A60 ordinary aluminium rods in Shandong was 450 yuan/mt, up 50 yuan/mt from a week ago."
Emission-free solar and electric-powered boats to replace diesel vessels in Chilika Lagoon,https://news.metal.com/newscontent/102864609/Emission-free-solar-and-electric-powered-boats-to-replace-diesel-vessels-in-Chilika-Lagoon,2024-07-22,"Chilika Lagoon, Asia’s largest brackish water lake, is set to introduce emission-free solar and electric-powered boats, replacing traditional diesel-powered vessels."
Planning Institute of Jamaica reports major growth in bauxite production,https://news.metal.com/newscontent/102864600/Planning-Institute-of-Jamaica-reports-major-growth-in-bauxite-production,2024-07-22,"The Planning Institute of Jamaica's 2023 Economic and Social Survey reveals that the local bauxite sector almost doubled its output last year, significantly contributing to an 86.8 per cent growth in the mining and quarrying industry compared to 2022."
SMM Morning Comment For SHFE Base Metals On July 22,https://news.metal.com/newscontent/102862894/SMM-Morning-Comment-For-SHFE-Base-Metals-On-July-22,2024-07-22,"Last Friday night, LME copper opened at $9,350.5/mt. After a brief initial fluctuation, it rose to a high of $9,374/mt, then fluctuated downward, touching a low of $9,283/mt at the end of the trading session, and finally closed at $9,290/mt, down 0.86%."
SMM Aluminum Market Morning Comment (July 22),https://news.metal.com/newscontent/102862770/SMM-Aluminum-Market-Morning-Comment-July-22,2024-07-22,"Last Friday night, the most-traded SHFE aluminum 2409 contract opened at 19,555 yuan/mt, with a high of 19,600 yuan/mt, a low of 19,515 yuan/mt, and closed at 19,515 yuan/mt, down 100 yuan/mt, a decrease of 0.51%."
"The inventory of aluminum billets has changed, processing fees in three locations are almost the same",https://news.metal.com/newscontent/102862229/The-inventory-of-aluminum-billets-has-changed-processing-fees-in-three-locations-are-almost-the-same,2024-07-19,"Due to the further decline in prices, last week's aluminum billet pick-up from warehouses rebounded slightly, increasing by 4,200 mt WoW to 42,400 mt."
"Aluminum: Social inventory of aluminum ingots increased to a new high in H2, further suppressing spot and futures prices",https://news.metal.com/newscontent/102862224/Aluminum:-Social-inventory-of-aluminum-ingots-increased-to-a-new-high-in-H2-further-suppressing-spot-and-futures-prices,2024-07-19,"On July 18, 2024, the SMM survey reported a total social inventory of aluminum ingots at 797,000 mt, (the amount for sale stood at 671,000 mt), up 8,000 mt from July 11 and up 10,000 mt from July 15."
"As domestic aluminum prices fell from highs in June, the supply of domestic aluminum billets showed differences between the north and south",https://news.metal.com/newscontent/102862220/As-domestic-aluminum-prices-fell-from-highs-in-June-the-supply-of-domestic-aluminum-billets-showed-differences-between-the-north-and-south,2024-07-19,"As domestic aluminum prices fell from highs in June, the domestic aluminum billet industry has some relief."
Aluminum prices to fall due to cautious macro environment and poor demand,https://news.metal.com/newscontent/102862218/Aluminum-prices-to-fall-due-to-cautious-macro-environment-and-poor-demand,2024-07-19,"This week, macro front was significantly impacted by the US Fed's interest rate cut expectations."
Critical minerals deal: U.S. approaches Indonesia for environmental collaboration,https://news.metal.com/newscontent/102862215/Critical-minerals-deal:-US-approaches-Indonesia-for-environmental-collaboration,2024-07-19,The United States has initiated discussions with Indonesia about joining a multinational partnership to improve Southeast Asia's environmental standards.
Indonesian government in talks to ease the severity of bauxite export ban,https://news.metal.com/newscontent/102862096/Indonesian-government-in-talks-to-ease-the-severity-of-bauxite-export-ban,2024-07-19,"According to Fastmarkets report, the Indonesian government is planning to ease the bauxite export ban due to slower-than-expected progress in developing domestic alumina refineries."
SMM Morning Comment For SHFE Base Metals On July 19,https://news.metal.com/newscontent/102860110/SMM-Morning-Comment-For-SHFE-Base-Metals-On-July-19,2024-07-19,"Overnight, LME copper opened at $9,540/mt, initially hitting a high of $9,541/mt before declining throughout the session. After a brief rebound, it continued to fluctuate downward, hitting a session low of $9,370.5/mt at the end of the trading session and finally closed at $9,371/mt, down 2.55%. Trading volume reached 38,000 lots, and open interest reached 310,000 lots."
SMM Aluminum Market Morning Comment (Jul 19),https://news.metal.com/newscontent/102860063/SMM-Aluminum-Market-Morning-Comment-Jul-19,2024-07-19,"The most-traded SHFE 2409 aluminum contract opened at 19,630 yuan/mt overnight, reaching a high of 19,680 yuan/mt and a low of 19,555 yuan/mt, and closed at 19,575 yuan/mt, down 130 yuan/mt, a decrease of 0.66%."
"The conversion margin for aluminium rods in June showed a rebound from the previous weakness, but the downward trend in aluminium rod production continued.",https://news.metal.com/newscontent/102859751/The-conversion-margin-for-aluminium-rods-in-June-showed-a-rebound-from-the-previous-weakness-but-the-downward-trend-in-aluminium-rod-production-continued,2024-07-18,"According to the survey statistics of the SMM analysis team on sample data from aluminium rod producers nationwide, as of July 2024, China's aluminium rod industry had an existing capacity of 7.488 million mt, with the overall operating capacity showing a stable trend."
"Aluminium prices dropped sharply again, while conversion margins of aluminum billets in east China increased.",https://news.metal.com/newscontent/102859579/Aluminium-prices-dropped-sharply-again-while-conversion-margins-of-aluminum-billets-in-east-China-increased,2024-07-18,"Today, the SMM A00 spot aluminium price dropped by 190 yuan/mt compared to the previous working day, reporting at 19,570 yuan/mt."
Metro Mining to highlight successes and plans at the Noosa investment meet,https://news.metal.com/newscontent/102859491/Metro-Mining-to-highlight-successes-and-plans-at-the-Noosa-investment-meet,2024-07-18,"During this week's Noosa Mining Investment Conference in Queensland, the Australian mining and exploration company Metro Mining will showcase the ongoing acceleration of operations at its Bauxite Hills Mine, situated north of Weipa."
Ghana's bauxite and lithium prospects: Government tables mining leases in parliament,https://news.metal.com/newscontent/102859483/Ghanas-bauxite-and-lithium-prospects:-Government-tables-mining-leases-in-parliament,2024-07-18,"The Government of Ghana, through the Ministry of Lands and Natural Resources, has presented mining lease agreements for bauxite and lithium to Parliament for consideration."
SMM Morning Comment For SHFE Base Metals On July 18,https://news.metal.com/newscontent/102857695/SMM-Morning-Comment-For-SHFE-Base-Metals-On-July-18,2024-07-18,"Overnight, LME copper opened at $9,710.5/mt, initially hitting a high of $9,737.5/mt before declining throughout the session to a low of $9,609.5/mt at the end of trading. It then consolidated and finally closed at $9,616/mt, down 0.50%. Trading volume reached 20,000 lots, and open interest was 311,000 lots."
SMM Aluminum Market Morning Comment (July 18),https://news.metal.com/newscontent/102857657/SMM-Aluminum-Market-Morning-Comment-July-18,2024-07-18,"The most-traded SHFE aluminum 2409 contract opened at 19,785 yuan/mt overnight, reaching a high of 19,810 yuan/mt and a low of 19,700 yuan/mt, and closed at 19,720 yuan/mt, down 70 yuan/mt, a decrease of 0.35%."
SMM Morning Comment For SHFE Base Metals On July 17,https://news.metal.com/newscontent/102855319/SMM-Morning-Comment-For-SHFE-Base-Metals-On-July-17,2024-07-17,"Overnight, LME copper opened at $9,748/mt, initially hitting a session high of $9,749.5/mt amid fluctuations."
SMM Aluminum Market Morning Comment (July 17),https://news.metal.com/newscontent/102855288/SMM-Aluminum-Market-Morning-Comment-July-17,2024-07-17,"Overnight, the most-traded SHFE aluminum 2409 contract opened at 19,800 yuan/mt, reaching a high of 19,870 yuan/mt and a low of 19,730 yuan/mt, and closed at 19,810 yuan/mt, down 85 yuan/mt, a decrease of 0.43%."
"Domestic aluminum ingot destocking encountered obstacles again in June, leaving limited room for inventory decline in July",https://news.metal.com/newscontent/102853104/Domestic-aluminum-ingot-destocking-encountered-obstacles-again-in-June-leaving-limited-room-for-inventory-decline-in-July,2024-07-16,"In June, domestic aluminum ingot inventory encountered obstacles again, narrowly fluctuating around 750,000-800,000 mt over the past month."
"Domestic spot alumina prices stabilized, with a tight balance supporting high spot prices",https://news.metal.com/newscontent/102853089/Domestic-spot-alumina-prices-stabilized-with-a-tight-balance-supporting-high-spot-prices-,2024-07-16,"From June 11 to July 10, the average price of the SMM alumina index was 3,904 yuan/mt, an increase of 76 yuan/mt MoM; the monthly average price of FOB Western Australia alumina was $505/mt, an increase of $59/mt MoM."
